Dataset,Method,Scenario,Sensitive_Features_Used,Run,IDI_Ratio,Time_Seconds
ADULT,Random Search,Combined,"gender, race, age",1,0.45,61.690423011779785
ADULT,Random Search,Combined,"gender, race, age",2,0.463,62.18783497810364
ADULT,Random Search,Combined,"gender, race, age",3,0.438,61.65928292274475
ADULT,Random Search,Combined,"gender, race, age",4,0.454,61.665688037872314
ADULT,Random Search,Combined,"gender, race, age",5,0.474,61.65662717819214
ADULT,Random Search,Combined,"gender, race, age",6,0.477,62.371286153793335
ADULT,Random Search,Combined,"gender, race, age",7,0.434,61.978708028793335
ADULT,Random Search,Combined,"gender, race, age",8,0.444,61.989306926727295
ADULT,Random Search,Combined,"gender, race, age",9,0.484,62.656895875930786
ADULT,Random Search,Combined,"gender, race, age",10,0.468,62.987321853637695
ADULT,Random Search,Combined,"gender, race, age",11,0.454,62.63962697982788
ADULT,Random Search,Combined,"gender, race, age",12,0.455,62.30856990814209
ADULT,Random Search,Combined,"gender, race, age",13,0.469,62.66530799865723
ADULT,Random Search,Combined,"gender, race, age",14,0.442,63.45694589614868
ADULT,Random Search,Combined,"gender, race, age",15,0.491,62.872389793395996
ADULT,Random Search,Combined,"gender, race, age",16,0.472,62.065715312957764
ADULT,Random Search,Combined,"gender, race, age",17,0.458,63.19245004653931
ADULT,Random Search,Combined,"gender, race, age",18,0.444,62.92197012901306
ADULT,Random Search,Combined,"gender, race, age",19,0.458,65.73254895210266
ADULT,Random Search,Combined,"gender, race, age",20,0.451,64.7739360332489
ADULT,Random Search,Combined,"gender, race, age",21,0.418,63.170498847961426
ADULT,Random Search,Combined,"gender, race, age",22,0.459,64.0488920211792
ADULT,Random Search,Combined,"gender, race, age",23,0.464,62.68605995178223
ADULT,Random Search,Combined,"gender, race, age",24,0.487,63.290714263916016
ADULT,Random Search,Combined,"gender, race, age",25,0.438,63.21928882598877
ADULT,Random Search,Combined,"gender, race, age",26,0.457,63.43257713317871
ADULT,Random Search,Combined,"gender, race, age",27,0.447,65.51221990585327
ADULT,Random Search,Combined,"gender, race, age",28,0.417,65.16008520126343
ADULT,Random Search,Combined,"gender, race, age",29,0.455,65.18388772010803
ADULT,Random Search,Combined,"gender, race, age",30,0.453,63.4792640209198
ADULT,GA+Local Search,Combined,"gender, race, age",1,0.556,64.06038188934326
ADULT,GA+Local Search,Combined,"gender, race, age",2,0.56,63.78621482849121
ADULT,GA+Local Search,Combined,"gender, race, age",3,0.578,64.25768303871155
ADULT,GA+Local Search,Combined,"gender, race, age",4,0.548,63.65955996513367
ADULT,GA+Local Search,Combined,"gender, race, age",5,0.546,63.911120891571045
ADULT,GA+Local Search,Combined,"gender, race, age",6,0.572,63.80516719818115
ADULT,GA+Local Search,Combined,"gender, race, age",7,0.588,63.903714179992676
ADULT,GA+Local Search,Combined,"gender, race, age",8,0.548,64.42782211303711
ADULT,GA+Local Search,Combined,"gender, race, age",9,0.57,64.30485391616821
ADULT,GA+Local Search,Combined,"gender, race, age",10,0.554,64.62684988975525
ADULT,GA+Local Search,Combined,"gender, race, age",11,0.608,63.950912952423096
ADULT,GA+Local Search,Combined,"gender, race, age",12,0.549,65.76207089424133
ADULT,GA+Local Search,Combined,"gender, race, age",13,0.539,63.1361448764801
ADULT,GA+Local Search,Combined,"gender, race, age",14,0.575,62.95832324028015
ADULT,GA+Local Search,Combined,"gender, race, age",15,0.544,63.308260917663574
ADULT,GA+Local Search,Combined,"gender, race, age",16,0.57,63.379119873046875
ADULT,GA+Local Search,Combined,"gender, race, age",17,0.591,63.78422808647156
ADULT,GA+Local Search,Combined,"gender, race, age",18,0.59,65.01025605201721
ADULT,GA+Local Search,Combined,"gender, race, age",19,0.582,64.37981224060059
ADULT,GA+Local Search,Combined,"gender, race, age",20,0.563,64.6963119506836
ADULT,GA+Local Search,Combined,"gender, race, age",21,0.594,64.53978490829468
ADULT,GA+Local Search,Combined,"gender, race, age",22,0.611,64.48022294044495
ADULT,GA+Local Search,Combined,"gender, race, age",23,0.554,64.58972096443176
ADULT,GA+Local Search,Combined,"gender, race, age",24,0.609,64.25092673301697
ADULT,GA+Local Search,Combined,"gender, race, age",25,0.572,64.80600500106812
ADULT,GA+Local Search,Combined,"gender, race, age",26,0.571,64.17952299118042
ADULT,GA+Local Search,Combined,"gender, race, age",27,0.571,63.712056159973145
ADULT,GA+Local Search,Combined,"gender, race, age",28,0.559,62.97858715057373
ADULT,GA+Local Search,Combined,"gender, race, age",29,0.56,62.940078020095825
ADULT,GA+Local Search,Combined,"gender, race, age",30,0.567,63.75846314430237
ADULT,Random Search,Single,gender,1,0.11,66.5752100944519
ADULT,Random Search,Single,gender,2,0.106,65.4734787940979
ADULT,Random Search,Single,gender,3,0.105,64.54233193397522
ADULT,Random Search,Single,gender,4,0.127,64.7396490573883
ADULT,Random Search,Single,gender,5,0.098,66.77646732330322
ADULT,Random Search,Single,gender,6,0.112,64.91564321517944
ADULT,Random Search,Single,gender,7,0.097,64.8470892906189
ADULT,Random Search,Single,gender,8,0.113,65.09133005142212
ADULT,Random Search,Single,gender,9,0.107,65.60353088378906
ADULT,Random Search,Single,gender,10,0.113,65.0950710773468
ADULT,Random Search,Single,gender,11,0.114,65.25822901725769
ADULT,Random Search,Single,gender,12,0.103,65.0501401424408
ADULT,Random Search,Single,gender,13,0.122,65.4152021408081
ADULT,Random Search,Single,gender,14,0.132,65.47708892822266
ADULT,Random Search,Single,gender,15,0.121,65.09203290939331
ADULT,Random Search,Single,gender,16,0.1,65.24817514419556
ADULT,Random Search,Single,gender,17,0.101,64.72778296470642
ADULT,Random Search,Single,gender,18,0.099,64.84340310096741
ADULT,Random Search,Single,gender,19,0.103,64.9654278755188
ADULT,Random Search,Single,gender,20,0.117,64.87511086463928
ADULT,Random Search,Single,gender,21,0.128,65.15385699272156
ADULT,Random Search,Single,gender,22,0.114,64.81893563270569
ADULT,Random Search,Single,gender,23,0.121,64.82465100288391
ADULT,Random Search,Single,gender,24,0.128,64.59784007072449
ADULT,Random Search,Single,gender,25,0.121,64.67489409446716
ADULT,Random Search,Single,gender,26,0.119,64.61195802688599
ADULT,Random Search,Single,gender,27,0.108,64.46263718605042
ADULT,Random Search,Single,gender,28,0.123,64.25182271003723
ADULT,Random Search,Single,gender,29,0.121,65.12813210487366
ADULT,Random Search,Single,gender,30,0.114,64.6999843120575
ADULT,GA+Local Search,Single,gender,1,0.18,63.85450315475464
ADULT,GA+Local Search,Single,gender,2,0.208,64.24621415138245
ADULT,GA+Local Search,Single,gender,3,0.179,64.46999001502991
ADULT,GA+Local Search,Single,gender,4,0.181,64.54640889167786
ADULT,GA+Local Search,Single,gender,5,0.166,64.94129800796509
ADULT,GA+Local Search,Single,gender,6,0.18,64.01607394218445
ADULT,GA+Local Search,Single,gender,7,0.173,64.16813588142395
ADULT,GA+Local Search,Single,gender,8,0.174,63.9781391620636
ADULT,GA+Local Search,Single,gender,9,0.188,66.64091968536377
ADULT,GA+Local Search,Single,gender,10,0.163,64.1091730594635
ADULT,GA+Local Search,Single,gender,11,0.197,67.69687700271606
ADULT,GA+Local Search,Single,gender,12,0.165,64.27504014968872
ADULT,GA+Local Search,Single,gender,13,0.19,64.80351901054382
ADULT,GA+Local Search,Single,gender,14,0.154,63.92975902557373
ADULT,GA+Local Search,Single,gender,15,0.167,64.58419299125671
ADULT,GA+Local Search,Single,gender,16,0.144,64.73553681373596
ADULT,GA+Local Search,Single,gender,17,0.185,64.46394109725952
ADULT,GA+Local Search,Single,gender,18,0.173,64.73700499534607
ADULT,GA+Local Search,Single,gender,19,0.202,64.89743709564209
ADULT,GA+Local Search,Single,gender,20,0.18,64.66924595832825
ADULT,GA+Local Search,Single,gender,21,0.175,64.07765412330627
ADULT,GA+Local Search,Single,gender,22,0.2,63.58534502983093
ADULT,GA+Local Search,Single,gender,23,0.183,63.705804109573364
ADULT,GA+Local Search,Single,gender,24,0.165,63.436445236206055
ADULT,GA+Local Search,Single,gender,25,0.183,63.85032796859741
ADULT,GA+Local Search,Single,gender,26,0.165,63.637311935424805
ADULT,GA+Local Search,Single,gender,27,0.185,63.91906404495239
ADULT,GA+Local Search,Single,gender,28,0.193,63.38394117355347
ADULT,GA+Local Search,Single,gender,29,0.189,63.28075194358826
ADULT,GA+Local Search,Single,gender,30,0.166,63.72647786140442
ADULT,Random Search,Single,race,1,0.083,64.07741403579712
ADULT,Random Search,Single,race,2,0.078,64.53452920913696
ADULT,Random Search,Single,race,3,0.079,64.06193280220032
ADULT,Random Search,Single,race,4,0.089,64.61556887626648
