Dataset,Method,Scenario,Sensitive_Features_Used,Average_IDI_Ratio,Average_Time_Seconds,Total_Runs
ADULT,Random Search,Combined,"gender, race, age",0.4558333333333333,63.08854413032532,30
ADULT,GA+Local Search,Combined,"gender, race, age",0.5699666666666665,64.04480590025584,30
ADULT,Random Search,Single,gender,0.11323333333333332,65.06123689810435,30
ADULT,GA+Local Search,Single,gender,0.17843333333333333,64.34555111726125,30
ADULT,Random Search,Single,race,0.08353333333333333,64.49915321667989,30
ADULT,GA+Local Search,Single,race,0.20360000000000003,63.71363948980967,30
ADULT,Random Search,Single,age,0.3787666666666667,38.33115855058034,30
ADULT,GA+Local Search,Single,age,0.5175000000000001,37.531556391716,30
COMPAS,Random Search,Combined,"Sex, Race",0.05946666666666666,63.13570625782013,30
COMPAS,GA+Local Search,Combined,"Sex, Race",0.15733333333333335,63.93872354030609,30
COMPAS,Random Search,Single,Sex,0.013200000000000002,65.11298180421194,30
COMPAS,GA+Local Search,Single,Sex,0.07213333333333333,64.39409860769908,30
COMPAS,Random Search,Single,Race,0.023333333333333334,64.56568307876587,30
COMPAS,GA+Local Search,Single,Race,0.08673333333333332,63.67100510597229,30
LAW SCHOOL,Random Search,Combined,"male, race",0.00016666666666666666,63.43532874584198,30
LAW SCHOOL,GA+Local Search,Combined,"male, race",0.016333333333333335,64.41473697821299,30
LAW SCHOOL,Random Search,Single,male,0.0,65.53190588951111,30
LAW SCHOOL,GA+Local Search,Single,male,0.0,64.94300238291423,30
LAW SCHOOL,Random Search,Single,race,0.0001,65.03442726135253,30
LAW SCHOOL,GA+Local Search,Single,race,0.010933333333333333,63.65021046002706,30
KDD,Random Search,Combined,"sex, race",0.03440000000000001,65.34941490491231,30
KDD,GA+Local Search,Combined,"sex, race",0.18643333333333334,64.46120914618174,30
KDD,Random Search,Single,sex,0.033600000000000005,67.48343691031138,30
KDD,GA+Local Search,Single,sex,0.15766666666666665,64.64216535886129,30
KDD,Random Search,Single,race,0.0005333333333333334,66.81963065465291,30
KDD,GA+Local Search,Single,race,0.006633333333333335,61.44090886116028,30
DUTCH,Random Search,Combined,"sex, age",0.014866666666666669,62.997640975316365,30
DUTCH,GA+Local Search,Combined,"sex, age",0.24893333333333337,63.882206726074216,30
DUTCH,Random Search,Single,sex,0.005933333333333335,65.10167036851247,30
DUTCH,GA+Local Search,Single,sex,0.1701666666666667,64.20397764841715,30
DUTCH,Random Search,Single,age,0.015200000000000002,64.47046341896058,30
DUTCH,GA+Local Search,Single,age,0.2584,63.51248188018799,30
CREDIT,Random Search,Combined,"SEX, EDUCATION, MARRIAGE",0.5936,63.827343885103865,30
CREDIT,GA+Local Search,Combined,"SEX, EDUCATION, MARRIAGE",0.43533333333333335,63.982067044576006,30
CREDIT,Random Search,Single,SEX,0.064,65.92709923585257,30
CREDIT,GA+Local Search,Single,SEX,0.21870000000000003,64.3439951578776,30
CREDIT,Random Search,Single,EDUCATION,0.5372333333333333,65.39626472791036,30
CREDIT,GA+Local Search,Single,EDUCATION,0.37310000000000004,63.31552517414093,30
CREDIT,Random Search,Single,MARRIAGE,0.15573333333333333,38.275909241040544,30
CREDIT,GA+Local Search,Single,MARRIAGE,0.2386666666666666,37.18447500864665,30
CRIME,Random Search,Combined,"Black, FemalePctDiv",0.0,63.36931100686391,30
CRIME,GA+Local Search,Combined,"Black, FemalePctDiv",0.0,64.26922767162323,30
CRIME,Random Search,Single,Black,0.0,65.67352880636851,30
CRIME,GA+Local Search,Single,Black,0.0,64.71845787366232,30
CRIME,Random Search,Single,FemalePctDiv,0.0,64.92906178633372,30
CRIME,GA+Local Search,Single,FemalePctDiv,0.0,63.56515170733134,30
GERMAN,Random Search,Combined,"PersonStatusSex, AgeInYears",0.5541666666666667,63.60702536900838,30
GERMAN,GA+Local Search,Combined,"PersonStatusSex, AgeInYears",0.6266999999999999,63.90679256916046,30
GERMAN,Random Search,Single,PersonStatusSex,0.027200000000000005,66.07090650399526,30
GERMAN,GA+Local Search,Single,PersonStatusSex,0.12223333333333333,64.58212351799011,30
GERMAN,Random Search,Single,AgeInYears,0.5479666666666668,65.34093279043833,30
GERMAN,GA+Local Search,Single,AgeInYears,0.6304,63.08685923417409,30
